Type,Largeur,Valeur
LUXE_3D,60,74
LUXE_3D,61,75
LUXE_3D,62,76
LUXE_3D,63,77
LUXE_3D,64,78
LUXE_3D,65,79
LUXE_3D,66,80
LUXE_3D,67,81
LUXE_3D,68,82
LUXE_3D,69,83
LUXE_3D,70,84
LUXE_3D,71,85
LUXE_3D,72,86
LUXE_3D,73,87
LUXE_3D,74,88
LUXE_3D,75,89
LUXE_3D,76,90
LUXE_3D,77,91
LUXE_3D,78,92
LUXE_3D,79,93
LUXE_3D,80,94
LUXE_3D,81,95
LUXE_3D,82,96
LUXE_3D,83,97
LUXE_3D,84,98
LUXE_3D,85,99
LUXE_3D,86,100
LUXE_3D,87,101
LUXE_3D,88,102
LUXE_3D,89,103
LUXE_3D,90,104
LUXE_3D,91,105
LUXE_3D,92,106
LUXE_3D,93,107
LUXE_3D,94,108
LUXE_3D,95,109
LUXE_3D,96,110
LUXE_3D,97,111
LUXE_3D,98,112
LUXE_3D,99,113
LUXE_3D,100,114
LUXE_3D,101,115
LUXE_3D,102,116
LUXE_3D,103,117
LUXE_3D,104,118
LUXE_3D,105,119
LUXE_3D,106,120
LUXE_3D,107,121
LUXE_3D,108,122
LUXE_3D,109,123
LUXE_3D,110,124
LUXE_3D,111,125
LUXE_3D,112,126
LUXE_3D,113,127
LUXE_3D,114,128
LUXE_3D,115,129
LUXE_3D,116,130
LUXE_3D,117,131
LUXE_3D,118,132
LUXE_3D,119,133
LUXE_3D,120,134
LUXE_3D,121,135
LUXE_3D,122,136
LUXE_3D,123,137
LUXE_3D,124,138
LUXE_3D,125,139
LUXE_3D,126,140
LUXE_3D,127,141
LUXE_3D,128,142
LUXE_3D,129,143
LUXE_3D,130,144
LUXE_3D,131,145
LUXE_3D,132,146
LUXE_3D,133,147
LUXE_3D,134,148
LUXE_3D,135,149
LUXE_3D,136,150
LUXE_3D,137,151
LUXE_3D,138,152
LUXE_3D,139,153
LUXE_3D,140,154
LUXE_3D,141,155
LUXE_3D,142,156
LUXE_3D,143,157
LUXE_3D,144,158
LUXE_3D,145,159
LUXE_3D,146,160
LUXE_3D,147,161
LUXE_3D,148,162
LUXE_3D,149,163
LUXE_3D,150,164
TENCEL,60,80
TENCEL,61,81
TENCEL,62,82
TENCEL,63,83
TENCEL,64,84
TENCEL,65,85
TENCEL,66,86
TENCEL,67,87
TENCEL,68,88
TENCEL,69,89
TENCEL,70,90
TENCEL,71,91
TENCEL,72,92
TENCEL,73,93
TENCEL,74,94
TENCEL,75,95
TENCEL,76,96
TENCEL,77,97
TENCEL,78,98
TENCEL,79,99
TENCEL,80,100
TENCEL,81,101
TENCEL,82,102
TENCEL,83,103
TENCEL,84,104
TENCEL,85,105
TENCEL,86,106
TENCEL,87,107
TENCEL,88,108
TENCEL,89,109
TENCEL,90,110
TENCEL,91,111
TENCEL,92,112
TENCEL,93,113
TENCEL,94,114
TENCEL,95,115
TENCEL,96,116
TENCEL,97,117
TENCEL,98,118
TENCEL,99,119
TENCEL,100,120
TENCEL,101,121
TENCEL,102,122
TENCEL,103,123
TENCEL,104,124
TENCEL,105,125
TENCEL,106,126
TENCEL,107,127
TENCEL,108,128
TENCEL,109,129
TENCEL,110,130
TENCEL,111,131
TENCEL,112,132
TENCEL,113,133
TENCEL,114,134
TENCEL,115,135
TENCEL,116,136
TENCEL,117,137
TENCEL,118,138
TENCEL,119,139
TENCEL,120,140
TENCEL,121,141
TENCEL,122,142
TENCEL,123,143
TENCEL,124,144
TENCEL,125,145
TENCEL,126,146
TENCEL,127,147
TENCEL,128,148
TENCEL,129,149
TENCEL,130,150
TENCEL,131,151
TENCEL,132,152
TENCEL,133,153
TENCEL,134,154
TENCEL,135,155
TENCEL,136,156
TENCEL,137,157
TENCEL,138,158
TENCEL,139,159
TENCEL,140,160
TENCEL,141,161
TENCEL,142,162
TENCEL,143,163
TENCEL,144,164
TENCEL,145,165
TENCEL,146,166
TENCEL,147,167
TENCEL,148,168
TENCEL,149,169
TENCEL,150,170
POLY,60,80
POLY,61,81
POLY,62,82
POLY,63,83
POLY,64,84
POLY,65,85
POLY,66,86
POLY,67,87
POLY,68,88
POLY,69,89
POLY,70,90
POLY,71,91
POLY,72,92
POLY,73,93
POLY,74,94
POLY,75,95
POLY,76,96
POLY,77,97
POLY,78,98
POLY,79,99
POLY,80,100
POLY,81,101
POLY,82,102
POLY,83,103
POLY,84,104
POLY,85,105
POLY,86,106
POLY,87,107
POLY,88,108
POLY,89,109
POLY,90,110
POLY,91,111
POLY,92,112
POLY,93,113
POLY,94,114
POLY,95,115
POLY,96,116
POLY,97,117
POLY,98,118
POLY,99,119
POLY,100,120
POLY,101,121
POLY,102,122
POLY,103,123
POLY,104,124
POLY,105,125
POLY,106,126
POLY,107,127
POLY,108,128
POLY,109,129
POLY,110,130
POLY,111,131
POLY,112,132
POLY,113,133
POLY,114,134
POLY,115,135
POLY,116,136
POLY,117,137
POLY,118,138
POLY,119,139
POLY,120,140
POLY,121,141
POLY,122,142
POLY,123,143
POLY,124,144
POLY,125,145
POLY,126,146
POLY,127,147
POLY,128,148
POLY,129,149
POLY,130,150
POLY,131,151
POLY,132,152
POLY,133,153
POLY,134,154
POLY,135,155
POLY,136,156
POLY,137,157
POLY,138,158
POLY,139,159
POLY,140,160
POLY,141,161
POLY,142,162
POLY,143,163
POLY,144,164
POLY,145,165
POLY,146,166
POLY,147,167
POLY,148,168
POLY,149,169
POLY,150,170 
